feature,importance,C_value
Urea_min,0.014532815677944289,0.01
Calcio_sum,0.014453592679237487,0.01
Creatinina_quartile3,0.01437281626486672,0.01
Alectinib,0.014304861811402374,0.01
Leucocitos_max,0.014167699021624357,0.01
missingindicator_Calcio_initial,0.013909698933041802,0.01
missingindicator_Calcio_min,0.01378914265481361,0.01
missingindicator_Calcio_quartile1,0.01378914265481361,0.01
missingindicator_Calcio_kurtosis,0.01378914265481361,0.01
missingindicator_Calcio_skewness,0.01378914265481361,0.01
missingindicator_Calcio_sum,0.01378914265481361,0.01
missingindicator_Calcio_quartile3,0.01378914265481361,0.01
missingindicator_Calcio_rms,0.01378914265481361,0.01
missingindicator_Calcio_median,0.01378914265481361,0.01
missingindicator_Calcio_max,0.01378914265481361,0.01
missingindicator_Calcio_std,0.01378914265481361,0.01
missingindicator_Calcio_mean,0.01378914265481361,0.01
missingindicator_Calcio_iqr,0.01378914265481361,0.01
Bilirrubina total_quartile3,0.013570107925380439,0.01
Hemoglobina_quartile1,0.013567723719631686,0.01
Potasio_median,0.013543881010217081,0.01
GPT_mean,0.013316344973327603,0.01
Linea1Atezo,0.013304904800302643,0.01
Urea_iqr,0.013183389444106767,0.01
missingindicator_Linea1Beva,0.01305424569952632,0.01
missingindicator_Linea1Carbo,0.01305424569952632,0.01
missingindicator_Linea1Atezo,0.01305424569952632,0.01
missingindicator_Linea1Nivo,0.01305424569952632,0.01
missingindicator_Linea1Pacli,0.01305424569952632,0.01
missingindicator_Linea1Pemetrexed,0.01305424569952632,0.01
missingindicator_Linea1Etoposido,0.01305424569952632,0.01
missingindicator_Linea1Gemcitabina,0.01305424569952632,0.01
missingindicator_Linea1Cisplatino,0.01305424569952632,0.01
missingindicator_Linea1Vinorelbina,0.01305424569952632,0.01
missingindicator_Linea1Pembro,0.01305424569952632,0.01
Glucosa_min,0.012615462053183896,0.01
GGT_quartile3,0.012430943684234485,0.01
Linfocitos_iqr,0.012388387104565919,0.01
DM,0.012379632591103942,0.01
Calcio_iqr,0.012196332152585514,0.01
GOT_iqr,0.012188259604193891,0.01
NºLineasIV,0.012082875463558494,0.01
Leucocitos_iqr,0.01204476252615769,0.01
InjertoCV,0.011842832912706058,0.01
Plaquetas_min,0.011732856212589604,0.01
Linfocitos_mean,0.011643863247940037,0.01
CAóseo,0.011580533222051504,0.01
Urea_max,0.011535188617288592,0.01
missingindicator_GPT_max,0.011427384065363384,0.01
missingindicator_GPT_skewness,0.011427384065363384,0.01
missingindicator_GPT_std,0.011427384065363384,0.01
missingindicator_GPT_kurtosis,0.011427384065363384,0.01
missingindicator_GPT_iqr,0.011427384065363384,0.01
missingindicator_GPT_quartile3,0.011427384065363384,0.01
missingindicator_GPT_rms,0.011427384065363384,0.01
missingindicator_GPT_quartile1,0.011427384065363384,0.01
missingindicator_GPT_median,0.011427384065363384,0.01
missingindicator_GPT_mean,0.011427384065363384,0.01
missingindicator_GPT_min,0.011427384065363384,0.01
missingindicator_GPT_sum,0.011427384065363384,0.01
Bilirrubina total_rms,0.011326865786604828,0.01
Neutrófilos_quartile3,0.011292929765605498,0.01
Durvalumab,0.011278655674764557,0.01
LDH_homogeneous,0.011057003493145996,0.01
Glucosa_initial,0.01095634062714522,0.01
missingindicator_Bilirrubina total_initial,0.010886917124267056,0.01
Bilirrubina total_std,0.010676160477393962,0.01
Leucocitos_skewness,0.010648902922976591,0.01
Fosfatasa Alcalina_quartile3,0.010411289083652549,0.01
GPT_max,0.010408693955667557,0.01
GOT_median,0.010326566217167257,0.01
missingindicator_Fosfatasa Alcalina_min,0.010178158510365316,0.01
